Message{id='feba14fa-76eb-4b89-bea7-f32a2cd0c82c', payload={temperature=16.0, unit=°C, timestamp=1775810967244, sensorId=temp-sensor-1}, timestamp=1775810967244}
Message{id='0aefd467-a9d7-49ef-a7e5-ea3d4109c074', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672660536}, timestamp=1776672660536}
Message{id='66ecdd0a-d2f1-4765-b77b-3bbe0f16f16b', payload={temperature=27.0, unit=°C, sensorId=sensor-1, timestamp=1776672661034}, timestamp=1776672661034}
Message{id='56723443-8f3c-4f0f-9077-39edc4485420', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672662036}, timestamp=1776672662036}
Message{id='c67178b2-c33d-4079-bc95-b7a2a858b1c3', payload={temperature=30.0, unit=°C, sensorId=sensor-1, timestamp=1776672663034}, timestamp=1776672663035}
Message{id='06af11ce-22e5-4e9f-8b14-9872e90a5a93', payload={temperature=16.0, unit=°C, sensorId=sensor-1, timestamp=1776672664535}, timestamp=1776672664535}
Message{id='a933aa96-7bee-4eff-bd06-1360cf135b44', payload={temperature=29.0, unit=°C, sensorId=sensor-1, timestamp=1776672666034}, timestamp=1776672666034}
Message{id='587ac9f0-172e-4ae2-afea-1193c4094a2f', payload={temperature=17.0, unit=°C, sensorId=sensor-1, timestamp=1776672666532}, timestamp=1776672666532}
Message{id='657d3c4b-d3b1-4955-8c87-a21180e98c10', payload={temperature=23.0, unit=°C, sensorId=sensor-1, timestamp=1776672667036}, timestamp=1776672667037}
Message{id='eba8ef32-6852-417c-812b-28ab98cd5ccd', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672669536}, timestamp=1776672669536}
Message{id='0c882352-f6d4-4528-82ac-0abf01436c6e', payload={temperature=22.0, unit=°C, sensorId=sensor-1, timestamp=1776672670035}, timestamp=1776672670035}
Message{id='7f0bebfd-fc10-4264-b118-49e0ad1b3802', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672670535}, timestamp=1776672670535}
Message{id='f5ac6f13-34f2-4421-a495-cb8350f2ed25', payload={temperature=28.0, unit=°C, sensorId=sensor-1, timestamp=1776672671035}, timestamp=1776672671035}
Message{id='e1f5430a-fce6-4268-b1c7-5ef75bcc8cf5', payload={temperature=15.0, unit=°C, sensorId=sensor-1, timestamp=1776672671535}, timestamp=1776672671535}
Message{id='f3059262-4934-4713-8def-27ec0e023bb7', payload={temperature=29.0, unit=°C, sensorId=sensor-1, timestamp=1776672672535}, timestamp=1776672672535}
Message{id='986ceb8a-5de2-44b3-bef7-1bf2bea184fb', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672673034}, timestamp=1776672673034}
Message{id='14a33e62-ffaa-442b-a079-e004ea48dfac', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672673535}, timestamp=1776672673535}
Message{id='5e3e212a-eb1d-4741-895d-48adce6d26f4', payload={temperature=24.0, unit=°C, sensorId=sensor-1, timestamp=1776672674535}, timestamp=1776672674535}
Message{id='f65da977-a8a5-4701-ac39-45b1dd84478d', payload={temperature=29.0, unit=°C, sensorId=sensor-1, timestamp=1776672675534}, timestamp=1776672675534}
Message{id='ece24f78-46e6-465b-b31a-5b6eee7d40d5', payload={temperature=27.0, unit=°C, sensorId=sensor-1, timestamp=1776672676536}, timestamp=1776672676537}
Message{id='f8720fe1-147f-4500-9052-b989aa8bd3b2', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672677035}, timestamp=1776672677035}
Message{id='68b6a142-7eb2-4e6e-8df3-3e2e278bd7d3', payload={temperature=30.0, unit=°C, sensorId=sensor-1, timestamp=1776672677532}, timestamp=1776672677532}
Message{id='bc88ee68-1fb5-4baf-9947-40c9dad77da6', payload={temperature=28.0, unit=°C, sensorId=sensor-1, timestamp=1776672678035}, timestamp=1776672678035}
Message{id='143b801b-3d2d-408d-8037-5fdaa53c9809', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672679036}, timestamp=1776672679036}
Message{id='65526d1a-0a51-446e-b4a5-c4c6746bcb83', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672679535}, timestamp=1776672679535}
Message{id='2e334d80-820b-4ac2-9c78-d79a04e3045e', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672680035}, timestamp=1776672680035}
Message{id='40fb146e-9426-48a1-8c33-4af225ce8671', payload={temperature=25.0, unit=°C, sensorId=sensor-1, timestamp=1776672681533}, timestamp=1776672681533}
Message{id='e4bfa204-27e0-4280-ab64-1423c1d39720', payload={temperature=19.0, unit=°C, sensorId=sensor-1, timestamp=1776672683031}, timestamp=1776672683031}
Message{id='0277fcf1-defa-4ac6-8277-f492252c5b36', payload={temperature=30.0, unit=°C, sensorId=sensor-1, timestamp=1776672683536}, timestamp=1776672683536}
Message{id='1becb6b6-1bdb-445f-b137-aa1243cdc26e', payload={temperature=29.0, unit=°C, sensorId=sensor-1, timestamp=1776672684035}, timestamp=1776672684035}
Message{id='4544e033-533a-4dfa-842c-154ea5727978', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672685533}, timestamp=1776672685533}
Message{id='82538d0c-78c0-4512-a825-485516b48af3', payload={temperature=15.0, unit=°C, sensorId=sensor-1, timestamp=1776672687535}, timestamp=1776672687535}
Message{id='4eaf5e3a-68a3-4c11-8f64-a446745dec28', payload={temperature=26.0, unit=°C, sensorId=sensor-1, timestamp=1776672688034}, timestamp=1776672688034}
Message{id='4c21c03e-ca96-46b4-8b66-65366ade6f70', payload={temperature=25.0, unit=°C, sensorId=sensor-1, timestamp=1776672690535}, timestamp=1776672690535}
Message{id='397cc3d2-c942-4fe9-9eaf-4f408b60fcbd', payload={temperature=23.0, unit=°C, sensorId=sensor-1, timestamp=1776672691035}, timestamp=1776672691035}
Message{id='2fd45501-fffc-4d29-a8cf-a5735e05aa4d', payload={temperature=29.0, unit=°C, sensorId=sensor-1, timestamp=1776672691535}, timestamp=1776672691535}
Message{id='1e02668a-dfe4-4f3b-a3d9-9c8fb9a002fc', payload={temperature=15.0, unit=°C, sensorId=sensor-1, timestamp=1776672692035}, timestamp=1776672692035}
Message{id='443c3cb4-5c6a-44b5-9c40-2d41e483e988', payload={temperature=17.0, unit=°C, sensorId=sensor-1, timestamp=1776672692530}, timestamp=1776672692530}
Message{id='78133932-76c3-4560-912c-6d502599028a', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672693030}, timestamp=1776672693030}
Message{id='43f73895-0ae2-4ce1-9332-c8838998edb6', payload={temperature=27.0, unit=°C, sensorId=sensor-1, timestamp=1776672693530}, timestamp=1776672693530}
Message{id='d1ceaa1a-7333-46ab-828d-4525cbaf8c28', payload={temperature=28.0, unit=°C, sensorId=sensor-1, timestamp=1776672694035}, timestamp=1776672694035}
Message{id='747eea3c-e2d7-4afe-9116-0ae6aa1e6d13', payload={temperature=15.0, unit=°C, sensorId=sensor-1, timestamp=1776672697531}, timestamp=1776672697531}
Message{id='dbec21f6-3753-42f3-adff-59149d69e309', payload={temperature=22.0, unit=°C, sensorId=sensor-1, timestamp=1776672699031}, timestamp=1776672699031}
Message{id='b5596311-4b34-4e2c-9ee6-cbe6bb0bc727', payload={temperature=19.0, unit=°C, sensorId=sensor-1, timestamp=1776672699535}, timestamp=1776672699535}
Message{id='f2c5db35-9d15-400c-964a-ec2ab778428c', payload={temperature=17.0, unit=°C, sensorId=sensor-1, timestamp=1776672702535}, timestamp=1776672702535}
Message{id='87a1d394-cc33-4413-9654-a42bfff70534', payload={temperature=29.0, unit=°C, sensorId=sensor-1, timestamp=1776672703535}, timestamp=1776672703535}
Message{id='d476cee8-5d1a-4db3-82bf-939ed3f3488e', payload={temperature=17.0, unit=°C, sensorId=sensor-1, timestamp=1776672704033}, timestamp=1776672704033}
Message{id='5046dac6-eb60-4256-9c19-da2df6b8ebd6', payload={temperature=16.0, unit=°C, sensorId=sensor-1, timestamp=1776672705032}, timestamp=1776672705032}
Message{id='810c0287-8b48-4e3f-bb47-086628dcd812', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672706035}, timestamp=1776672706035}
Message{id='98816874-5405-44dc-b544-86d05a21fc37', payload={temperature=23.0, unit=°C, sensorId=sensor-1, timestamp=1776672708034}, timestamp=1776672708034}
Message{id='aa291dab-fda6-4424-aa3f-83a7e2f77f48', payload={temperature=18.0, unit=°C, sensorId=sensor-1, timestamp=1776672708535}, timestamp=1776672708535}
Message{id='53fcbfea-aed2-4ac2-9bbf-dae4bdee85ed', payload={temperature=24.0, unit=°C, sensorId=sensor-1, timestamp=1776672709035}, timestamp=1776672709035}
Message{id='df1e243f-e7f9-4208-a8aa-c075809a03bd', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672709530}, timestamp=1776672709530}
Message{id='883fd9f0-8cc3-42eb-837c-5784ed9e7af2', payload={temperature=23.0, unit=°C, sensorId=sensor-1, timestamp=1776672710035}, timestamp=1776672710035}
Message{id='7ee5ff31-ac29-44c6-8efb-a02d7823f4f1', payload={temperature=19.0, unit=°C, sensorId=sensor-1, timestamp=1776672710534}, timestamp=1776672710534}
Message{id='3e2b5810-6f97-4309-893a-ad84265ccdc7', payload={temperature=18.0, unit=°C, sensorId=sensor-1, timestamp=1776672711535}, timestamp=1776672711535}
